SCORCH,ID
0.02062,CHEMBL1830130_smina_6
0.01554,CHEMBL1830130_smina_7
0.02466,CHEMBL1830130_smina_8
0.0221,CHEMBL1830130_smina_9
0.0303,CHEMBL1830130_smina_10
0.08055,CHEMBL1830277_smina_1
0.05969,CHEMBL1830277_smina_2
0.00494,CHEMBL1830277_smina_3
0.02173,CHEMBL1830277_smina_4
0.02194,CHEMBL1830277_smina_5
0.02364,CHEMBL1830277_smina_6
0.00458,CHEMBL1830277_smina_7
0.02219,CHEMBL1830277_smina_8
0.01518,CHEMBL1830277_smina_9
0.00579,CHEMBL1830277_smina_10
0.02068,CHEMBL1914664_smina_1
0.01889,CHEMBL1914664_smina_2
0.01939,CHEMBL1914664_smina_3
0.03276,CHEMBL1914664_smina_4
0.02508,CHEMBL1914664_smina_5
0.02385,CHEMBL1914664_smina_6
0.02138,CHEMBL1914664_smina_7
0.01101,CHEMBL1914664_smina_8
0.03303,CHEMBL1914664_smina_9
0.01462,CHEMBL1914664_smina_10
0.01559,CHEMBL1928301_smina_1
0.02082,CHEMBL1928301_smina_2
