ID,Vinardo
CHEMBL1242208_smina_9,-7.35777
CHEMBL1242208_smina_10,-5.60194
CHEMBL1242294_smina_1,-8.01553
CHEMBL1242294_smina_2,-7.49127
CHEMBL1242294_smina_3,-7.05678
CHEMBL1242294_smina_4,-7.28330
CHEMBL1242294_smina_5,-6.77692
CHEMBL1242294_smina_6,-6.92967
CHEMBL1242294_smina_7,-6.55816
CHEMBL1242294_smina_8,-7.40542
CHEMBL1242294_smina_9,-5.49213
CHEMBL1242294_smina_10,-5.34451
CHEMBL1242568_smina_1,-7.99272
CHEMBL1242568_smina_2,-7.40459
CHEMBL1242568_smina_3,-7.26498
CHEMBL1242568_smina_4,-7.35710
CHEMBL1242568_smina_5,-7.14274
CHEMBL1242568_smina_6,-6.44826
CHEMBL1242568_smina_7,-7.23833
CHEMBL1242568_smina_8,-5.25070
CHEMBL1242568_smina_9,-6.49268
CHEMBL1242568_smina_10,-6.06323
CHEMBL1242973_smina_1,-7.69051
CHEMBL1242973_smina_2,-6.48475
CHEMBL1242973_smina_3,-6.77897
CHEMBL1242973_smina_4,-6.67493
CHEMBL1242973_smina_5,-7.73657
CHEMBL1242973_smina_6,-7.69987
CHEMBL1242973_smina_7,-6.57159
CHEMBL1242973_smina_8,-7.69774
CHEMBL1242973_smina_9,-7.18652
CHEMBL1242973_smina_10,-8.24155
CHEMBL127223_smina_1,-7.58096
CHEMBL127223_smina_2,-7.00001
CHEMBL127223_smina_3,-7.47509
CHEMBL127223_smina_4,-7.30175
CHEMBL127223_smina_5,-7.85899
CHEMBL127223_smina_6,-6.87186
CHEMBL127223_smina_7,-7.08767
CHEMBL127223_smina_8,-6.71998
CHEMBL127223_smina_9,-6.11376
CHEMBL127223_smina_10,-6.87370
CHEMBL141238_smina_1,-6.41992
CHEMBL141238_smina_2,-5.63937
CHEMBL141238_smina_3,-6.17594
CHEMBL141238_smina_4,-6.13875
CHEMBL141238_smina_5,-5.33797
CHEMBL141238_smina_6,-6.27011
CHEMBL141238_smina_7,-5.40932
CHEMBL141238_smina_8,-5.55992
CHEMBL141238_smina_9,-5.82328
CHEMBL141238_smina_10,-6.33843
CHEMBL144842_smina_1,-7.76035
CHEMBL144842_smina_2,-8.25377
CHEMBL144842_smina_3,-8.28821
CHEMBL144842_smina_4,-6.74620
CHEMBL144842_smina_5,-7.59768
CHEMBL144842_smina_6,-7.97315
CHEMBL144842_smina_7,-7.89114
CHEMBL144842_smina_8,-8.10312
CHEMBL144842_smina_9,-7.89821
CHEMBL144842_smina_10,-7.08026
CHEMBL14932_smina_1,-7.78249
CHEMBL14932_smina_2,-7.68773
CHEMBL14932_smina_3,-8.35601
CHEMBL14932_smina_4,-7.56251
CHEMBL14932_smina_5,-7.23898
CHEMBL14932_smina_6,-6.85017
CHEMBL14932_smina_7,-7.02892
CHEMBL14932_smina_8,-7.15786
CHEMBL14932_smina_9,-7.14917
CHEMBL14932_smina_10,-7.17992
CHEMBL154080_smina_1,-9.28151
CHEMBL154080_smina_2,-9.79930
CHEMBL154080_smina_3,-9.07474
CHEMBL154080_smina_4,-8.97224
CHEMBL154080_smina_5,-9.70739
CHEMBL154080_smina_6,-9.45491
CHEMBL154080_smina_7,-8.34692
CHEMBL154080_smina_8,-9.05822
CHEMBL154080_smina_9,-9.47680
CHEMBL154080_smina_10,-9.25583
CHEMBL154822_smina_1,-8.93568
CHEMBL154822_smina_2,-8.94678
CHEMBL154822_smina_3,-10.08731
CHEMBL154822_smina_4,-9.34108
CHEMBL154822_smina_5,-9.42783
CHEMBL154822_smina_6,-10.13394
CHEMBL154822_smina_7,-10.00090
CHEMBL154822_smina_8,-9.24426
CHEMBL154822_smina_9,-10.21092
CHEMBL154822_smina_10,-9.88071
CHEMBL154911_smina_1,-6.53696
CHEMBL154911_smina_2,-7.05008
CHEMBL154911_smina_3,-7.05382
CHEMBL154911_smina_4,-6.92101
CHEMBL154911_smina_5,-6.68851
CHEMBL154911_smina_6,-6.91207
CHEMBL154911_smina_7,-5.02261
CHEMBL154911_smina_8,-6.74692
CHEMBL154911_smina_9,-7.09567
CHEMBL154911_smina_10,-5.61754
CHEMBL1630114_smina_1,-10.42561
CHEMBL1630114_smina_2,-10.50497
