ID,CHEMPLP
CHEMBL5192038_smina_6,25.6722
CHEMBL5192038_smina_7,7.49445
CHEMBL5192038_smina_8,44.019
CHEMBL5192038_smina_9,29.4244
CHEMBL5192038_smina_10,143.203
CHEMBL5192318_smina_1,-47.7286
CHEMBL5192318_smina_2,-48.6504
CHEMBL5192318_smina_3,-52.8818
CHEMBL5192318_smina_4,-44.7011
CHEMBL5192318_smina_5,-48.9175
CHEMBL5192318_smina_6,-51.9276
CHEMBL5192318_smina_7,-46.5132
CHEMBL5192318_smina_8,-41.8305
CHEMBL5192318_smina_9,-50.5074
CHEMBL5192318_smina_10,-47.5668
CHEMBL5198812_smina_1,470.471
CHEMBL5198812_smina_2,477.296
CHEMBL5198812_smina_3,439.619
CHEMBL5198812_smina_4,385.988
CHEMBL5198812_smina_5,395.092
CHEMBL5198812_smina_6,405.387
CHEMBL5198812_smina_7,371.007
CHEMBL5198812_smina_8,374.54
CHEMBL5198812_smina_9,516.67
CHEMBL5198812_smina_10,551.43
CHEMBL5209100_smina_1,69.4325
CHEMBL5209100_smina_2,238.827
CHEMBL5209100_smina_3,81.4028
CHEMBL5209100_smina_4,295.8
CHEMBL5209100_smina_5,65.1253
CHEMBL5209100_smina_6,-27.6249
CHEMBL5209100_smina_7,324.847
CHEMBL5209100_smina_8,46.7385
CHEMBL5209100_smina_9,191.718
CHEMBL5209100_smina_10,81.876
CHEMBL521155_smina_1,-60.3413
CHEMBL521155_smina_2,-65.9125
CHEMBL521155_smina_3,-56.9352
CHEMBL521155_smina_4,-57.2759
CHEMBL521155_smina_5,-67.858
CHEMBL521155_smina_6,-55.3356
CHEMBL521155_smina_7,-59.5099
CHEMBL521155_smina_8,-66.7296
CHEMBL521155_smina_9,-57.7604
CHEMBL521155_smina_10,-49.9225
CHEMBL540701_smina_1,-47.0287
CHEMBL540701_smina_2,304.003
CHEMBL540701_smina_3,-43.1477
CHEMBL540701_smina_4,-61.009
CHEMBL540701_smina_5,335.141
CHEMBL540701_smina_6,327.143
CHEMBL540701_smina_7,338.62
CHEMBL540701_smina_8,-65.9507
CHEMBL540701_smina_9,-57.7999
CHEMBL540701_smina_10,-40.5973
CHEMBL55379_smina_1,-11.9949
CHEMBL55379_smina_2,-43.443
CHEMBL55379_smina_3,-66.8818
CHEMBL55379_smina_4,40.6239
CHEMBL55379_smina_5,-26.1932
CHEMBL55379_smina_6,-38.584
CHEMBL55379_smina_7,-51.2433
CHEMBL55379_smina_8,-30.1198
CHEMBL55379_smina_9,52.2215
CHEMBL55379_smina_10,7.01235
CHEMBL57347_smina_1,71.8473
CHEMBL57347_smina_2,-31.4693
CHEMBL57347_smina_3,51.4821
CHEMBL57347_smina_4,-36.4798
CHEMBL57347_smina_5,364.608
CHEMBL57347_smina_6,-58.1618
CHEMBL57347_smina_7,-13.6333
CHEMBL57347_smina_8,-21.4375
CHEMBL57347_smina_9,4.76674
CHEMBL57347_smina_10,-13.5403
CHEMBL589561_smina_1,-64.6912
CHEMBL589561_smina_2,-57.7479
CHEMBL589561_smina_3,-53.6534
CHEMBL589561_smina_4,-57.091
CHEMBL589561_smina_5,-70.5806
CHEMBL589561_smina_6,-58.3253
CHEMBL589561_smina_7,-73.2172
CHEMBL589561_smina_8,-72.9585
CHEMBL589561_smina_9,-63.5685
CHEMBL589561_smina_10,-37.8532
CHEMBL591910_smina_1,-51.6366
CHEMBL591910_smina_2,-53.6338
CHEMBL591910_smina_3,-54.4768
CHEMBL591910_smina_4,-50.2353
CHEMBL591910_smina_5,-56.7689
CHEMBL591910_smina_6,-43.2049
CHEMBL591910_smina_7,-48.3025
CHEMBL591910_smina_8,-50.7034
CHEMBL591910_smina_9,-56.485
CHEMBL591910_smina_10,-56.9513
CHEMBL593760_smina_1,141.816
CHEMBL593760_smina_2,99.9954
CHEMBL593760_smina_3,109.3
CHEMBL593760_smina_4,172.13
CHEMBL593760_smina_5,149.216
CHEMBL593760_smina_6,110.92
CHEMBL593760_smina_7,232.969
CHEMBL593760_smina_8,173.16
CHEMBL593760_smina_9,175.299
CHEMBL593760_smina_10,140.137
CHEMBL594810_smina_1,-39.8115
CHEMBL594810_smina_2,-39.9939
CHEMBL594810_smina_3,-36.582
CHEMBL594810_smina_4,-26.8126
CHEMBL594810_smina_5,-38.5201
CHEMBL594810_smina_6,-47.6551
CHEMBL594810_smina_7,-38.3669
CHEMBL594810_smina_8,-41.2304
CHEMBL594810_smina_9,-27.5192
CHEMBL594810_smina_10,-40.886
CHEMBL59812_smina_1,411.719
CHEMBL59812_smina_2,398.069
CHEMBL59812_smina_3,504.207
CHEMBL59812_smina_4,-14.9127
CHEMBL59812_smina_5,447.41
CHEMBL59812_smina_6,16.9834
CHEMBL59812_smina_7,409.238
CHEMBL59812_smina_8,403.626
CHEMBL59812_smina_9,365.317
CHEMBL59812_smina_10,655.315
CHEMBL65063_smina_1,-61.8428
CHEMBL65063_smina_2,-54.0621
CHEMBL65063_smina_3,-60.9887
CHEMBL65063_smina_4,-64.8368
CHEMBL65063_smina_5,-59.0362
CHEMBL65063_smina_6,-62.695
CHEMBL65063_smina_7,-62.4515
CHEMBL65063_smina_8,-61.8396
CHEMBL65063_smina_9,-61.8826
CHEMBL65063_smina_10,-57.651
CHEMBL69071_smina_1,-27.0487
CHEMBL69071_smina_2,53.8391
CHEMBL69071_smina_3,449.82
CHEMBL69071_smina_4,64.0404
CHEMBL69071_smina_5,347.982
CHEMBL69071_smina_6,-34.2275
CHEMBL69071_smina_7,347.403
CHEMBL69071_smina_8,266.765
CHEMBL69071_smina_9,6.23438
CHEMBL69071_smina_10,20.9321
CHEMBL72393_smina_1,-68.1365
CHEMBL72393_smina_2,-72.171
CHEMBL72393_smina_3,-66.534
CHEMBL72393_smina_4,-67.3581
CHEMBL72393_smina_5,-67.0781
CHEMBL72393_smina_6,-67.8806
CHEMBL72393_smina_7,-62.2493
CHEMBL72393_smina_8,-61.2098
CHEMBL72393_smina_9,-58.6943
CHEMBL72393_smina_10,-67.4667
CHEMBL726_smina_1,224.819
CHEMBL726_smina_2,-70.3087
CHEMBL726_smina_3,-75.1096
