ID,CNNscore
CHEMBL3671487_diffdock_2,0.1811247766
CHEMBL3671487_diffdock_3,0.0767739937
CHEMBL3671487_diffdock_4,0.0714685172
CHEMBL3671487_diffdock_5,0.1072392762
CHEMBL3671487_diffdock_6,0.0277532209
CHEMBL3671487_diffdock_7,0.0337615088
CHEMBL3671487_diffdock_8,0.0591049939
CHEMBL3671487_diffdock_9,0.0081290985
CHEMBL3671487_diffdock_10,0.1065872833
CHEMBL3132872_diffdock_1,0.1751232594
CHEMBL3132872_diffdock_2,0.0726880133
CHEMBL3132872_diffdock_3,0.0896937922
CHEMBL3132872_diffdock_4,0.0804214999
CHEMBL3132872_diffdock_5,0.1057860628
CHEMBL3132872_diffdock_6,0.0992908329
CHEMBL3132872_diffdock_7,0.1300289035
CHEMBL3132872_diffdock_8,0.1016352847
CHEMBL3132872_diffdock_9,0.1055760086
CHEMBL3132872_diffdock_10,0.9145933390
CHEMBL3763790_diffdock_1,0.0438777953
CHEMBL3763790_diffdock_2,0.0459730998
CHEMBL3763790_diffdock_3,0.0796746537
CHEMBL3763790_diffdock_4,0.0650579929
CHEMBL3763790_diffdock_5,0.0108564701
CHEMBL3763790_diffdock_6,0.0174624026
CHEMBL3763790_diffdock_7,0.0345548317
CHEMBL3763790_diffdock_8,0.0088835061
CHEMBL3763790_diffdock_9,0.0237521045
CHEMBL3763790_diffdock_10,0.0000259848
CHEMBL249511_diffdock_1,0.1906454116
CHEMBL249511_diffdock_2,0.1101177335
CHEMBL249511_diffdock_3,0.1678637117
CHEMBL249511_diffdock_4,0.0270993896
CHEMBL249511_diffdock_5,0.0982972980
CHEMBL249511_diffdock_6,0.1448938400
CHEMBL249511_diffdock_7,0.0587124228
CHEMBL249511_diffdock_8,0.0451922119
CHEMBL249511_diffdock_9,0.0837858543
CHEMBL249511_diffdock_10,0.8933917284
CHEMBL3425665_diffdock_1,0.2004432529
